Branch,Customer_type,Gender,Product_line,Unit_price,Quantity,Total,Date
C,Normal,Female,Home and lifestyle,45.38,4,190.596,2020-04-20
C,Member,Female,Health and beauty,81.51,1,85.5855,2020-04-21
B,Normal,Female,Health and beauty,57.22,2,120.162,2020-04-22
A,Member,Female,Electronic accessories,25.22,7,185.367,2020-04-23
C,Member,Female,Food and beverages,38.6,3,121.59,2020-04-24
C,Normal,Female,Electronic accessories,84.05,3,264.7575,2020-04-25
C,Member,Female,Fashion accessories,97.21,10,1020.705,2020-04-26
B,Member,Male,Fashion accessories,25.42,8,213.528,2020-04-27
C,Normal,Male,Fashion accessories,16.28,1,17.094,2020-04-28
B,Member,Male,Fashion accessories,40.61,9,383.7645,2020-04-29
A,Member,Male,Health and beauty,53.17,7,390.7995,2020-04-30
B,Member,Female,Food and beverages,20.87,3,65.7405,2020-05-01
B,Normal,Male,Sports and travel,67.27,5,353.1675,2020-05-02
A,Member,Female,Home and lifestyle,90.65,10,951.825,2020-05-03
B,Normal,Male,Fashion accessories,69.08,2,145.068,2020-05-04
C,Normal,Male,Food and beverages,43.27,2,90.867,2020-05-05
A,Normal,Female,Electronic accessories,23.46,6,147.798,2020-05-06
B,Normal,Male,Fashion accessories,95.54,7,702.219,2020-05-07
B,Normal,Female,Fashion accessories,47.44,1,49.812,2020-05-08
C,Normal,Male,Sports and travel,99.24,9,937.818,2020-05-09
C,Member,Male,Sports and travel,82.93,4,348.306,2020-05-10
A,Normal,Male,Home and lifestyle,33.99,6,214.137,2020-05-11
C,Member,Male,Food and beverages,17.04,4,71.568,2020-05-12
C,Normal,Female,Electronic accessories,40.86,8,343.224,2020-05-13
C,Member,Male,Food and beverages,17.44,5,91.56,2020-05-14
B,Member,Female,Sports and travel,88.43,8,742.812,2020-05-15
A,Member,Female,Home and lifestyle,89.21,9,843.0345,2020-05-16
C,Normal,Male,Fashion accessories,12.78,1,13.419,2020-05-17
A,Normal,Female,Sports and travel,19.1,7,140.385,2020-05-18
B,Member,Female,Health and beauty,19.15,1,20.1075,2020-05-19
C,Member,Male,Food and beverages,27.66,10,290.43,2020-05-20
C,Normal,Male,Fashion accessories,45.74,3,144.081,2020-05-21
B,Member,Female,Health and beauty,27.07,1,28.4235,2020-05-22
B,Member,Female,Sports and travel,39.12,1,41.076,2020-05-23
B,Normal,Female,Electronic accessories,74.71,6,470.673,2020-05-24
B,Normal,Male,Electronic accessories,22.01,6,138.663,2020-05-25
A,Normal,Female,Food and beverages,63.61,5,333.9525,2020-05-26
A,Normal,Male,Health and beauty,25,1,26.25,2020-05-27
A,Member,Male,Electronic accessories,20.77,4,87.234,2020-05-28
B,Member,Female,Fashion accessories,29.56,5,155.19,2020-05-29
B,Member,Female,Food and beverages,77.4,9,731.43,2020-05-30
B,Normal,Male,Electronic accessories,79.39,10,833.595,2020-05-31
C,Member,Female,Electronic accessories,46.57,10,488.985,2020-06-01
C,Normal,Male,Food and beverages,35.89,1,37.6845,2020-06-02
C,Normal,Male,Food and beverages,40.52,5,212.73,2020-06-03
B,Member,Female,Food and beverages,73.05,10,767.025,2020-06-04
C,Normal,Female,Sports and travel,73.95,4,310.59,2020-06-05
C,Member,Female,Food and beverages,22.62,1,23.751,2020-06-06
A,Member,Male,Food and beverages,51.34,5,269.535,2020-06-07
C,Member,Female,Sports and travel,54.55,10,572.775,2020-06-08
C,Member,Female,Health and beauty,37.15,7,273.0525,2020-06-09
B,Normal,Male,Sports and travel,37.02,6,233.226,2020-06-10
C,Normal,Male,Food and beverages,21.58,1,22.659,2020-06-11
C,Member,Female,Electronic accessories,98.84,1,103.782,2020-06-12
C,Member,Female,Home and lifestyle,83.77,6,527.751,2020-06-13
A,Member,Female,Sports and travel,40.05,4,168.21,2020-06-14
A,Member,Male,Fashion accessories,43.13,10,452.865,2020-06-15
B,Member,Male,Health and beauty,72.57,8,609.588,2020-06-16
A,Member,Female,Electronic accessories,64.44,5,338.31,2020-06-17
A,Normal,Male,Health and beauty,65.18,3,205.317,2020-06-18
A,Normal,Female,Sports and travel,33.26,5,174.615,2020-06-19
C,Normal,Male,Electronic accessories,84.07,4,353.094,2020-06-20
B,Normal,Male,Sports and travel,34.37,10,360.885,2020-06-21
A,Normal,Male,Electronic accessories,38.6,1,40.53,2020-06-22
C,Normal,Male,Food and beverages,65.97,8,554.148,2020-06-23
C,Normal,Female,Electronic accessories,32.8,10,344.4,2020-06-24
A,Normal,Male,Sports and travel,37.14,5,194.985,2020-06-25
B,Member,Male,Home and lifestyle,60.38,10,633.99,2020-06-26
C,Member,Female,Sports and travel,36.98,10,388.29,2020-06-27
B,Member,Female,Sports and travel,49.49,4,207.858,2020-06-28
B,Normal,Female,Fashion accessories,41.09,10,431.445,2020-06-29
A,Normal,Male,Fashion accessories,37.15,4,156.03,2020-06-30
C,Normal,Male,Home and lifestyle,22.96,1,24.108,2020-07-01
B,Member,Female,Home and lifestyle,77.68,9,734.076,2020-07-02
B,Normal,Female,Fashion accessories,34.7,2,72.87,2020-07-03
A,Member,Female,Fashion accessories,19.66,10,206.43,2020-07-04
B,Member,Female,Health and beauty,25.32,8,212.688,2020-07-05
C,Member,Female,Home and lifestyle,12.12,10,127.26,2020-07-06
B,Normal,Male,Fashion accessories,99.89,2,209.769,2020-07-07
B,Normal,Male,Sports and travel,75.92,8,637.728,2020-07-08
C,Normal,Female,Electronic accessories,63.22,2,132.762,2020-07-09
C,Normal,Female,Food and beverages,90.24,6,568.512,2020-07-10
B,Member,Female,Sports and travel,98.13,1,103.0365,2020-07-11
A,Member,Female,Sports and travel,51.52,8,432.768,2020-07-12
B,Member,Male,Sports and travel,73.97,1,77.6685,2020-07-13
C,Member,Female,Fashion accessories,31.9,1,33.495,2020-07-14
C,Normal,Male,Home and lifestyle,69.4,2,145.74,2020-07-15
B,Normal,Female,Sports and travel,93.31,2,195.951,2020-07-16
B,Normal,Male,Sports and travel,88.45,1,92.8725,2020-07-17
A,Member,Male,Electronic accessories,24.18,8,203.112,2020-07-18
B,Member,Female,Sports and travel,48.5,3,152.775,2020-07-19
B,Normal,Female,Food and beverages,84.05,6,529.515,2020-07-20
B,Member,Male,Health and beauty,61.29,5,321.7725,2020-07-21
C,Member,Female,Home and lifestyle,15.95,6,100.485,2020-07-22
B,Member,Female,Sports and travel,90.74,7,666.939,2020-07-23
A,Normal,Female,Home and lifestyle,42.91,5,225.2775,2020-07-24
A,Normal,Female,Fashion accessories,54.28,7,398.958,2020-07-25
A,Normal,Male,Electronic accessories,99.55,7,731.6925,2020-07-26
C,Member,Male,Sports and travel,58.39,7,429.1665,2020-07-27
C,Member,Female,Fashion accessories,51.47,1,54.0435,2020-07-28
B,Member,Male,Health and beauty,54.86,5,288.015,2020-07-29
C,Member,Male,Home and lifestyle,39.39,5,206.7975,2020-07-30
A,Normal,Male,Home and lifestyle,34.73,2,72.933,2020-07-31
C,Member,Male,Sports and travel,71.92,5,377.58,2020-08-01
B,Normal,Female,Electronic accessories,45.71,3,143.9865,2020-08-02
C,Member,Female,Home and lifestyle,83.17,6,523.971,2020-08-03
A,Member,Female,Home and lifestyle,37.44,6,235.872,2020-08-04
C,Normal,Male,Health and beauty,62.87,2,132.027,2020-08-05
A,Normal,Male,Food and beverages,81.71,6,514.773,2020-08-06
A,Member,Female,Sports and travel,91.41,5,479.9025,2020-08-07
B,Normal,Male,Fashion accessories,39.21,4,164.682,2020-08-08
B,Member,Male,Fashion accessories,59.86,2,125.706,2020-08-09
B,Member,Female,Food and beverages,54.36,10,570.78,2020-08-10
A,Normal,Male,Sports and travel,98.09,9,926.9505,2020-08-11
A,Normal,Male,Health and beauty,25.43,6,160.209,2020-08-12
A,Member,Male,Fashion accessories,86.68,8,728.112,2020-08-13
B,Normal,Male,Electronic accessories,22.95,10,240.975,2020-08-14
C,Normal,Female,Food and beverages,16.31,9,154.1295,2020-08-15
A,Normal,Female,Home and lifestyle,28.32,5,148.68,2020-08-16
C,Normal,Male,Home and lifestyle,16.67,7,122.5245,2020-08-17
B,Member,Female,Fashion accessories,73.96,1,77.658,2020-08-18
A,Normal,Male,Home and lifestyle,97.94,1,102.837,2020-08-19
A,Normal,Female,Fashion accessories,73.05,4,306.81,2020-08-20
C,Member,Female,Food and beverages,87.48,6,551.124,2020-08-21
A,Normal,Male,Home and lifestyle,30.68,3,96.642,2020-08-22
C,Member,Male,Health and beauty,75.88,1,79.674,2020-08-23
B,Member,Female,Sports and travel,20.18,4,84.756,2020-08-24
C,Member,Male,Electronic accessories,18.77,6,118.251,2020-08-25
B,Normal,Female,Food and beverages,71.2,1,74.76,2020-08-26
B,Member,Male,Home and lifestyle,38.81,4,163.002,2020-08-27
A,Normal,Female,Fashion accessories,29.42,10,308.91,2020-08-28
A,Normal,Male,Sports and travel,60.95,9,575.9775,2020-08-29
B,Normal,Female,Sports and travel,51.54,5,270.585,2020-08-30
A,Normal,Female,Electronic accessories,66.06,6,416.178,2020-08-31
B,Normal,Male,Fashion accessories,57.27,3,180.4005,2020-09-01
B,Normal,Female,Fashion accessories,54.31,9,513.2295,2020-09-02
B,Normal,Female,Health and beauty,58.24,9,550.368,2020-09-03
C,Normal,Male,Electronic accessories,22.21,6,139.923,2020-09-04
A,Member,Male,Electronic accessories,19.32,7,142.002,2020-09-05
B,Normal,Male,Home and lifestyle,37.48,3,118.062,2020-09-06
B,Member,Female,Fashion accessories,72.04,2,151.284,2020-09-07
C,Member,Female,Food and beverages,98.52,10,1034.46,2020-09-08
A,Member,Male,Food and beverages,41.66,6,262.458,2020-09-09
A,Member,Female,Home and lifestyle,72.42,3,228.123,2020-09-10
B,Normal,Male,Electronic accessories,21.58,9,203.931,2020-09-11
C,Normal,Male,Food and beverages,89.2,10,936.6,2020-09-12
B,Normal,Female,Electronic accessories,42.42,8,356.328,2020-09-13
A,Member,Male,Electronic accessories,74.51,6,469.413,2020-09-14
B,Normal,Male,Fashion accessories,99.25,2,208.425,2020-09-15
A,Normal,Female,Food and beverages,81.21,10,852.705,2020-09-16
C,Normal,Female,Sports and travel,49.33,10,517.965,2020-09-17
A,Normal,Female,Fashion accessories,65.74,9,621.243,2020-09-18
B,Normal,Female,Fashion accessories,79.86,7,586.971,2020-09-19
C,Normal,Female,Sports and travel,73.98,7,543.753,2020-09-20
B,Member,Female,Home and lifestyle,82.04,5,430.71,2020-09-21
B,Member,Male,Sports and travel,26.67,10,280.035,2020-09-22
A,Member,Male,Food and beverages,10.13,7,74.4555,2020-09-23
B,Normal,Male,Food and beverages,72.39,2,152.019,2020-09-24
A,Normal,Male,Sports and travel,85.91,5,451.0275,2020-09-25
B,Member,Male,Fashion accessories,81.31,7,597.6285,2020-09-26
B,Normal,Male,Food and beverages,60.3,4,253.26,2020-09-27
C,Normal,Male,Food and beverages,31.77,4,133.434,2020-09-28
A,Normal,Female,Health and beauty,64.27,4,269.934,2020-09-29
B,Normal,Male,Health and beauty,69.51,2,145.971,2020-09-30
C,Normal,Male,Food and beverages,27.22,3,85.743,2020-10-01
A,Member,Female,Health and beauty,77.68,4,326.256,2020-10-02
C,Member,Female,Fashion accessories,92.98,2,195.258,2020-10-03
B,Member,Female,Fashion accessories,18.08,4,75.936,2020-10-04
B,Normal,Male,Sports and travel,63.06,3,198.639,2020-10-05
A,Normal,Male,Health and beauty,51.71,4,217.182,2020-10-06
A,Normal,Female,Food and beverages,52.34,3,164.871,2020-10-07
A,Normal,Female,Sports and travel,43.06,5,226.065,2020-10-08
C,Normal,Male,Fashion accessories,59.61,10,625.905,2020-10-09
A,Normal,Male,Health and beauty,14.62,5,76.755,2020-10-10
C,Member,Male,Health and beauty,46.53,6,293.139,2020-10-11
C,Member,Female,Home and lifestyle,24.24,7,178.164,2020-10-12
A,Member,Female,Sports and travel,45.58,1,47.859,2020-10-13
A,Member,Female,Sports and travel,75.2,3,236.88,2020-10-14
B,Member,Male,Sports and travel,96.8,3,304.92,2020-10-15
B,Normal,Male,Health and beauty,14.82,3,46.683,2020-10-16
A,Normal,Male,Food and beverages,52.2,3,164.43,2020-10-17
C,Normal,Female,Sports and travel,46.66,9,440.937,2020-10-18
C,Normal,Female,Fashion accessories,36.85,5,193.4625,2020-10-19
A,Member,Female,Home and lifestyle,70.32,2,147.672,2020-10-20
C,Normal,Male,Electronic accessories,83.08,1,87.234,2020-10-21
C,Normal,Female,Fashion accessories,64.99,1,68.2395,2020-10-22
C,Normal,Male,Food and beverages,77.56,10,814.38,2020-10-23
B,Normal,Female,Sports and travel,54.51,6,343.413,2020-10-24
C,Member,Female,Fashion accessories,51.89,7,381.3915,2020-10-25
B,Normal,Male,Home and lifestyle,31.75,4,133.35,2020-10-26
A,Member,Female,Fashion accessories,53.65,7,394.3275,2020-10-27
C,Member,Female,Food and beverages,49.79,4,209.118,2020-10-28
A,Normal,Male,Fashion accessories,30.61,1,32.1405,2020-10-29
B,Member,Male,Food and beverages,57.89,2,121.569,2020-10-30
A,Normal,Female,Electronic accessories,28.96,1,30.408,2020-10-31
C,Member,Female,Food and beverages,98.97,9,935.2665,2020-11-01
B,Member,Male,Fashion accessories,93.22,3,293.643,2020-11-02
C,Member,Male,Sports and travel,80.93,1,84.9765,2020-11-03
A,Member,Male,Food and beverages,67.45,10,708.225,2020-11-04
A,Member,Female,Sports and travel,38.72,9,365.904,2020-11-05
B,Member,Male,Sports and travel,72.6,6,457.38,2020-11-06
C,Member,Male,Electronic accessories,87.91,5,461.5275,2020-11-07
A,Member,Male,Food and beverages,98.53,6,620.739,2020-11-08
C,Member,Female,Fashion accessories,43.46,6,273.798,2020-11-09
A,Normal,Female,Food and beverages,71.68,3,225.792,2020-11-10
A,Member,Female,Food and beverages,91.61,1,96.1905,2020-11-11
B,Member,Female,Home and lifestyle,94.59,7,695.2365,2020-11-12
B,Normal,Female,Fashion accessories,83.25,10,874.125,2020-11-13
B,Member,Male,Fashion accessories,91.35,1,95.9175,2020-11-14
B,Member,Female,Food and beverages,78.88,2,165.648,2020-11-15
A,Normal,Male,Sports and travel,60.87,2,127.827,2020-11-16
B,Member,Male,Health and beauty,82.58,10,867.09,2020-11-17
A,Member,Male,Home and lifestyle,53.3,3,167.895,2020-11-18
A,Normal,Female,Fashion accessories,12.09,1,12.6945,2020-11-19
A,Normal,Male,Sports and travel,64.19,10,673.995,2020-11-20
A,Normal,Male,Electronic accessories,78.31,3,246.6765,2020-11-21
A,Member,Male,Food and beverages,83.77,2,175.917,2020-11-22
B,Normal,Male,Home and lifestyle,99.7,3,314.055,2020-11-23
B,Member,Male,Food and beverages,79.91,3,251.7165,2020-11-24
B,Member,Male,Health and beauty,66.47,10,697.935,2020-11-25
A,Normal,Male,Health and beauty,28.95,7,212.7825,2020-11-26
C,Normal,Female,Electronic accessories,46.2,1,48.51,2020-11-27
B,Member,Female,Food and beverages,17.63,5,92.5575,2020-11-28
B,Normal,Male,Fashion accessories,52.42,3,165.123,2020-11-29
B,Member,Female,Food and beverages,98.79,3,311.1885,2020-11-30
C,Member,Female,Electronic accessories,88.55,8,743.82,2020-12-01
B,Member,Male,Electronic accessories,55.67,2,116.907,2020-12-02
C,Member,Female,Food and beverages,72.52,8,609.168,2020-12-03
C,Member,Male,Electronic accessories,12.05,5,63.2625,2020-12-04
A,Member,Male,Home and lifestyle,19.36,9,182.952,2020-12-05
C,Normal,Male,Health and beauty,70.21,6,442.323,2020-12-06
B,Member,Male,Fashion accessories,33.63,1,35.3115,2020-12-07
C,Member,Female,Sports and travel,15.49,2,32.529,2020-12-08
C,Normal,Male,Electronic accessories,24.74,10,259.77,2020-12-09
B,Normal,Male,Electronic accessories,75.66,5,397.215,2020-12-10
B,Normal,Female,Health and beauty,55.81,6,351.603,2020-12-11
A,Member,Male,Home and lifestyle,72.78,10,764.19,2020-12-12
B,Member,Male,Sports and travel,37.32,9,352.674,2020-12-13
B,Member,Male,Fashion accessories,60.18,4,252.756,2020-12-14
A,Normal,Female,Electronic accessories,15.69,3,49.4235,2020-12-15
C,Normal,Female,Electronic accessories,99.69,1,104.6745,2020-12-16
A,Member,Female,Fashion accessories,88.15,3,277.6725,2020-12-17
A,Member,Female,Sports and travel,27.93,5,146.6325,2020-12-18
A,Member,Male,Fashion accessories,55.45,1,58.2225,2020-12-19
B,Normal,Female,Sports and travel,42.97,3,135.3555,2020-12-20
C,Member,Male,Sports and travel,17.14,7,125.979,2020-12-21
B,Member,Female,Fashion accessories,58.75,6,370.125,2020-12-22
C,Member,Female,Food and beverages,87.1,10,914.55,2020-12-23
C,Normal,Female,Sports and travel,98.8,2,207.48,2020-12-24
A,Normal,Female,Fashion accessories,48.63,4,204.246,2020-12-25
B,Member,Male,Food and beverages,57.74,3,181.881,2020-12-26
B,Normal,Female,Health and beauty,17.97,4,75.474,2020-12-27
C,Member,Female,Health and beauty,47.71,6,300.573,2020-12-28
B,Normal,Female,Sports and travel,40.62,2,85.302,2020-12-29
A,Member,Male,Fashion accessories,56.04,10,588.42,2020-12-30
B,Member,Male,Food and beverages,93.4,2,196.14,2020-12-31
B,Normal,Female,Health and beauty,73.41,3,231.2415,2021-01-01
C,Normal,Male,Health and beauty,33.64,8,282.576,2021-01-02
A,Normal,Female,Electronic accessories,45.48,10,477.54,2021-01-03
B,Member,Male,Fashion accessories,83.77,2,175.917,2021-01-04
B,Member,Female,Sports and travel,64.08,7,470.988,2021-01-05
A,Member,Female,Food and beverages,73.47,4,308.574,2021-01-06
C,Normal,Male,Health and beauty,58.95,10,618.975,2021-01-07
A,Member,Male,Food and beverages,48.5,6,305.55,2021-01-08
B,Member,Female,Electronic accessories,39.48,1,41.454,2021-01-09
B,Normal,Female,Sports and travel,34.81,1,36.5505,2021-01-10
C,Normal,Female,Fashion accessories,49.32,6,310.716,2021-01-11
A,Member,Male,Fashion accessories,21.48,2,45.108,2021-01-12
B,Member,Female,Sports and travel,23.08,6,145.404,2021-01-13
B,Member,Female,Home and lifestyle,49.1,2,103.11,2021-01-14
B,Member,Female,Sports and travel,64.83,2,136.143,2021-01-15
A,Member,Male,Home and lifestyle,63.56,10,667.38,2021-01-16
C,Member,Male,Sports and travel,72.88,2,153.048,2021-01-17
A,Normal,Female,Food and beverages,67.1,3,211.365,2021-01-18
C,Member,Female,Sports and travel,70.19,9,663.2955,2021-01-19
C,Member,Male,Food and beverages,55.04,7,404.544,2021-01-20
A,Member,Male,Health and beauty,48.63,10,510.615,2021-01-21
C,Member,Female,Fashion accessories,73.38,7,539.343,2021-01-22
C,Normal,Female,Food and beverages,52.6,9,497.07,2021-01-23
A,Member,Female,Home and lifestyle,87.37,5,458.6925,2021-01-24
A,Member,Female,Sports and travel,27.04,4,113.568,2021-01-25
B,Normal,Male,Home and lifestyle,62.19,4,261.198,2021-01-26
A,Member,Male,Electronic accessories,69.58,9,657.531,2021-01-27
C,Normal,Male,Home and lifestyle,97.5,10,1023.75,2021-01-28
C,Normal,Female,Fashion accessories,60.41,8,507.444,2021-01-29
B,Normal,Male,Food and beverages,32.32,3,101.808,2021-01-30
B,Member,Female,Fashion accessories,19.77,10,207.585,2021-01-31
B,Member,Male,Health and beauty,80.47,9,760.4415,2021-02-01
B,Member,Female,Home and lifestyle,88.39,9,835.2855,2021-02-02
B,Normal,Male,Health and beauty,71.77,7,527.5095,2021-02-03
B,Normal,Female,Electronic accessories,43,4,180.6,2021-02-04
C,Member,Male,Food and beverages,68.98,1,72.429,2021-02-05
C,Normal,Male,Fashion accessories,15.62,8,131.208,2021-02-06
A,Normal,Male,Sports and travel,25.7,3,80.955,2021-02-07
A,Member,Male,Food and beverages,80.62,6,507.906,2021-02-08
C,Member,Female,Home and lifestyle,75.53,4,317.226,2021-02-09
C,Normal,Female,Electronic accessories,77.63,9,733.6035,2021-02-10
C,Normal,Female,Health and beauty,13.85,9,130.8825,2021-02-11
C,Member,Male,Fashion accessories,98.7,8,829.08,2021-02-12
A,Normal,Female,Health and beauty,35.68,5,187.32,2021-02-13
A,Member,Female,Fashion accessories,71.46,7,525.231,2021-02-14
A,Member,Male,Electronic accessories,11.94,3,37.611,2021-02-15
A,Normal,Male,Fashion accessories,45.38,3,142.947,2021-02-16
B,Member,Female,Fashion accessories,17.48,6,110.124,2021-02-17
B,Normal,Female,Fashion accessories,25.56,7,187.866,2021-02-18
C,Member,Female,Sports and travel,90.63,9,856.4535,2021-02-19
B,Normal,Male,Home and lifestyle,44.12,3,138.978,2021-02-20
C,Member,Female,Food and beverages,36.77,7,270.2595,2021-02-21
B,Member,Male,Food and beverages,23.34,4,98.028,2021-02-22
C,Member,Female,Health and beauty,28.5,8,239.4,2021-02-23
C,Member,Male,Home and lifestyle,55.57,3,175.0455,2021-02-24
B,Normal,Male,Sports and travel,69.74,10,732.27,2021-02-25
C,Normal,Male,Fashion accessories,97.26,4,408.492,2021-02-26
B,Member,Female,Home and lifestyle,52.18,7,383.523,2021-02-27
A,Member,Female,Fashion accessories,22.32,4,93.744,2021-02-28
A,Normal,Male,Health and beauty,56,3,176.4,2021-03-01
A,Member,Male,Fashion accessories,19.7,1,20.685,2021-03-02
B,Normal,Male,Electronic accessories,75.88,7,557.718,2021-03-03
B,Member,Male,Food and beverages,53.72,1,56.406,2021-03-04
C,Member,Male,Health and beauty,81.95,10,860.475,2021-03-05
C,Member,Female,Home and lifestyle,81.2,7,596.82,2021-03-06
C,Normal,Male,Electronic accessories,58.76,10,616.98,2021-03-07
B,Member,Male,Electronic accessories,91.56,8,769.104,2021-03-08
A,Normal,Male,Home and lifestyle,93.96,9,887.922,2021-03-09
C,Normal,Male,Home and lifestyle,55.61,7,408.7335,2021-03-10
C,Normal,Male,Food and beverages,84.83,1,89.0715,2021-03-11
A,Member,Female,Sports and travel,71.63,2,150.423,2021-03-12
A,Member,Male,Home and lifestyle,37.69,2,79.149,2021-03-13
C,Member,Female,Sports and travel,31.67,8,266.028,2021-03-14
C,Member,Female,Food and beverages,38.42,1,40.341,2021-03-15
B,Member,Male,Fashion accessories,65.23,10,684.915,2021-03-16
C,Member,Female,Home and lifestyle,10.53,5,55.2825,2021-03-17
B,Member,Female,Home and lifestyle,12.29,9,116.1405,2021-03-18
C,Member,Male,Health and beauty,81.23,7,597.0405,2021-03-19
B,Member,Female,Fashion accessories,22.32,4,93.744,2021-03-20
A,Normal,Female,Food and beverages,27.28,5,143.22,2021-03-21
A,Member,Female,Electronic accessories,17.42,10,182.91,2021-03-22
B,Normal,Male,Home and lifestyle,73.28,5,384.72,2021-03-23
C,Member,Female,Fashion accessories,84.87,3,267.3405,2021-03-24
A,Normal,Female,Fashion accessories,97.29,8,817.236,2021-03-25
B,Member,Female,Electronic accessories,35.74,8,300.216,2021-03-26
A,Normal,Female,Home and lifestyle,96.52,6,608.076,2021-03-27
A,Member,Male,Food and beverages,18.85,10,197.925,2021-03-28
A,Normal,Female,Food and beverages,55.39,4,232.638,2021-03-29
B,Member,Female,Food and beverages,77.2,10,810.6,2021-03-30
B,Normal,Male,Electronic accessories,72.13,10,757.365,2021-03-31
A,Member,Female,Fashion accessories,63.88,8,536.592,2021-04-01
A,Member,Female,Health and beauty,10.69,5,56.1225,2021-04-02
A,Member,Male,Health and beauty,55.5,4,233.1,2021-04-03
B,Normal,Female,Home and lifestyle,95.46,8,801.864,2021-04-04
C,Normal,Female,Fashion accessories,76.06,3,239.589,2021-04-05
B,Normal,Male,Sports and travel,13.69,6,86.247,2021-04-06
B,Normal,Female,Electronic accessories,95.64,4,401.688,2021-04-07
A,Normal,Female,Home and lifestyle,11.43,6,72.009,2021-04-08
B,Member,Female,Sports and travel,95.54,4,401.268,2021-04-09
C,Member,Female,Health and beauty,85.87,7,631.1445,2021-04-10
C,Member,Female,Sports and travel,67.99,7,499.7265,2021-04-11
C,Normal,Female,Food and beverages,52.42,1,55.041,2021-04-12
C,Member,Male,Food and beverages,65.65,2,137.865,2021-04-13
B,Normal,Female,Food and beverages,28.86,5,151.515,2021-04-14
C,Member,Male,Health and beauty,65.31,7,480.0285,2021-04-15
B,Normal,Male,Sports and travel,93.38,1,98.049,2021-04-16
C,Member,Male,Sports and travel,25.25,5,132.5625,2021-04-17
B,Member,Male,Electronic accessories,87.87,9,830.3715,2021-04-18
C,Normal,Male,Health and beauty,21.8,8,183.12,2021-04-19
A,Normal,Female,Sports and travel,94.76,4,397.992,2021-04-20
A,Member,Female,Fashion accessories,30.62,1,32.151,2021-04-21
C,Normal,Female,Home and lifestyle,44.01,8,369.684,2021-04-22
C,Member,Female,Health and beauty,10.16,5,53.34,2021-04-23
A,Normal,Male,Electronic accessories,74.58,7,548.163,2021-04-24
C,Normal,Male,Electronic accessories,71.89,8,603.876,2021-04-25
C,Normal,Female,Health and beauty,10.99,5,57.6975,2021-04-26
C,Member,Male,Health and beauty,60.47,3,190.4805,2021-04-27
A,Normal,Male,Sports and travel,58.91,7,432.9885,2021-04-28
A,Normal,Male,Fashion accessories,46.41,1,48.7305,2021-04-29
C,Member,Male,Health and beauty,68.55,4,287.91,2021-04-30
B,Normal,Female,Home and lifestyle,97.37,10,1022.385,2021-05-01
A,Member,Male,Electronic accessories,92.6,7,680.61,2021-05-02
A,Normal,Female,Electronic accessories,46.61,2,97.881,2021-05-03
B,Normal,Male,Fashion accessories,27.18,2,57.078,2021-05-04
C,Member,Female,Home and lifestyle,60.87,1,63.9135,2021-05-05
A,Member,Female,Sports and travel,24.49,10,257.145,2021-05-06
B,Normal,Male,Health and beauty,92.78,1,97.419,2021-05-07
C,Member,Male,Home and lifestyle,86.69,5,455.1225,2021-05-08
B,Normal,Male,Sports and travel,23.01,6,144.963,2021-05-09
C,Member,Female,Electronic accessories,30.2,8,253.68,2021-05-10
C,Member,Male,Fashion accessories,67.39,7,495.3165,2021-05-11
A,Member,Female,Fashion accessories,48.96,9,462.672,2021-05-12
B,Member,Female,Electronic accessories,75.59,9,714.3255,2021-05-13
A,Normal,Female,Home and lifestyle,77.47,4,325.374,2021-05-14
A,Normal,Female,Sports and travel,93.18,2,195.678,2021-05-15
A,Normal,Female,Electronic accessories,50.23,4,210.966,2021-05-16
B,Normal,Female,Health and beauty,17.75,1,18.6375,2021-05-17
C,Normal,Female,Fashion accessories,62.18,10,652.89,2021-05-18
B,Normal,Male,Health and beauty,10.75,8,90.3,2021-05-19
A,Normal,Female,Electronic accessories,40.26,10,422.73,2021-05-20
C,Member,Female,Sports and travel,64.97,5,341.0925,2021-05-21
A,Normal,Male,Electronic accessories,95.15,1,99.9075,2021-05-22
A,Member,Female,Electronic accessories,48.62,8,408.408,2021-05-23
B,Normal,Female,Food and beverages,53.21,8,446.964,2021-05-24
C,Normal,Female,Fashion accessories,45.44,7,333.984,2021-05-25
A,Normal,Male,Food and beverages,33.88,8,284.592,2021-05-26
B,Member,Male,Health and beauty,96.16,4,403.872,2021-05-27
B,Member,Male,Food and beverages,47.16,5,247.59,2021-05-28
B,Normal,Male,Electronic accessories,52.89,4,222.138,2021-05-29
A,Member,Female,Home and lifestyle,47.68,2,100.128,2021-05-30
C,Member,Male,Sports and travel,10.17,1,10.6785,2021-05-31
A,Normal,Female,Health and beauty,68.71,3,216.4365,2021-06-01
B,Member,Female,Sports and travel,60.08,7,441.588,2021-06-02
A,Member,Female,Sports and travel,22.01,4,92.442,2021-06-03
B,Member,Female,Health and beauty,72.11,9,681.4395,2021-06-04
A,Member,Male,Fashion accessories,41.28,3,130.032,2021-06-05
C,Normal,Male,Electronic accessories,64.95,10,681.975,2021-06-06
A,Member,Female,Electronic accessories,74.22,10,779.31,2021-06-07
A,Normal,Male,Electronic accessories,10.56,8,88.704,2021-06-08
B,Normal,Male,Health and beauty,62.57,4,262.794,2021-06-09
B,Member,Female,Sports and travel,11.85,8,99.54,2021-06-10
A,Member,Male,Health and beauty,91.3,1,95.865,2021-06-11
